YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1664-11-30 22:02   So, with my heart glad to see my accounts fall so right in this time of mixing of monies and confusion, I home to bed.

1664-11-30 21:53   I to my monthly accounts and, bless God! I find I have increased my last balance. Praise God for what I have which is 1209l.

1664-11-29 10:03   Sir G. Carteret told us how the King inclines to our request of making us Commissioners of the Prize office.

1664-11-28 14:48   Home to dinner, then come Dr. Clerke to speak with me about sick and wounded men, wherein he is like to be concerned.

1664-11-28 10:40   The Dutch have sent part of their fleete round by Scotland; and pay the rest half-pay, promising the rest in the Spring, keeping their men.

1664-11-27 21:20   After supper fell into the rarest discourse with Mr. Hill about Rome and Italy; but most pleasant that I ever had in my life.

1664-11-27 20:06   Come Mr. Andrews and Hill, and we sung, with my boy, Ravenscroft’s 4-part psalms, most admirable musique.

1664-11-27 17:22   Setting right my business of flaggs. After all my pains find reason not to be sorry, because I think it will bring me considerable profit.

1664-11-26 22:20   To the office, where very late busy till quite weary, but contented well with my dispatch of business.

1664-11-25 21:15   The House have given the King 2,500,000l. to be paid for this warr, only for the Navy, in three years’ time; which is a joyfull thing.

1664-11-25 20:06   I hear that Mrs. Lane and her husband live a sad life, and he is gone to be a paymaster to a company to Portsmouth. She big with child.

1664-11-25 11:59   But God knows this is only a scare to the Parliament, to make them give the more money.

1664-11-25 11:57   At my office, to prepare an account of the charge we have been put to by the Dutch already; and I have brought it to appear 852,700l.

1664-11-24 14:22   Fine discourse we had and fine talke, being proud to see myself accepted in such company and thought better than I am.

1664-11-24 14:20   I dined with Sir Philip Warwicke, and Mr. Povy with us and Sir Edmund Pooly, a fine gentleman, and Mr. Chichly.

1664-11-24 12:48   Out with Commissioner Pett, and he and I to a Coffee-house, to drink jocolatte, very good.

1664-11-24 12:05   Up and to the office, where all the morning busy answering of people.

1664-11-23 19:05   Mr. Hollyard came to me and told me that he hath searched my boy and he finds he hath a stone in his bladder, which grieves me to the heart.

1664-11-23 15:30   Sir G. Carteret was here; strange to see how we plot to make the charge of this warr to appear greater than it is, because of getting money.

1664-11-22 21:44   Troubled to hear my poor boy Tom has a fit of the stone, or some other pain like it. I must consult Mr. Holliard for him.

1664-11-22 19:10   Sir Richard Ford did meet us with letters from Holland this day, that it is likely the Dutch fleete will not come out this year.

1664-11-22 15:20   Sir Philip Warwicke told me that one year of the late Dutch warr cost 1,623,000l.

1664-11-21 21:55   I to White Hall to the Secretaries, and there wrote to Mr. Coventry, and so home by coach, a fine clear moonshine night, but very cold.

1664-11-21 20:20   Sir J. Minnes’s paper served us in no stead, but was all false, and after I had done it, I am confident he understands not one word in it.

1664-11-21 15:24   I had letters that three are brought into the Downes and Dover; so that the warr is begun: God give a good end to it!

1664-11-21 15:22   Newes is come that Teddiman hath brought in twenty Dutchmen, merchants, their Bourdeaux fleete, and two men of warr to Portsmouth.

1664-11-20 21:27   I was in the right, and was the willinger to do so before Sir W. Batten and my Lady, that they might see that I am somebody.

