YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1662-08-31 19:43   Some Presbyters were clapped up to-day, and strict watch is kept in the City by the train-bands, and letters of a plot are taken.

1662-08-31 15:34   The best of his sermon was the degrees of walking, standing, and sitting, showing how by steps and degrees sinners do grow in wickedness.

1662-08-31 15:32   To church, and heard a simple sermon of a stranger upon David’s words, “Blessed is the man that walketh not in the way of the ungodly,” &c.

1662-08-31 14:19   My wife is still in the country; my house all in dirt; but my work in a good forwardness, and will be much to my mind at last.

1662-08-31 14:07   To my office, and there made my monthly accounts, and find myself worth in money about 686l. 19s. 2½d., for which God be praised.

1662-08-31 07:16   Waked early, but being in a strange house, did not rise till 7 o’clock almost, and so rose and read over my oaths.

1662-08-30 12:12   It troubled me exceedingly what to do for a lodging, and more what to do with my goods, that are all in Sir W. Pen’s house.

1662-08-30 12:10   I had news that Sir W. Pen would be in town from Ireland, which I much wonder at, he giving so little notice of it.

1662-08-29 19:56   I did begin with Mr. Lewes to look into the nature of a purser’s account, and the business of victualling, in which there is great variety.

1662-08-29 14:07   To my workmen again, finding my presence to carry on the work both to my mind and with more haste, and I thank God I am pleased with it.

1662-08-28 07:31   I rose and among my workmen, in my gown, without a doublet, till I was afraid of getting an ague.

1662-08-28 05:58   Will, whom I used to call two or three times in a morning, would now wake and rise without calling. Which though angry I was glad to see.

1662-08-28 00:14   Having discharged my mind, I went to bed.

1662-08-28 00:04   I am resolved to look out some boy that I may have the bringing up of after my own mind.

1662-08-27 23:58   I struck Will, and did stay up chiding him for it, and did in plain terms tell him that I would not be served so.

1662-08-27 23:44   When I came home I found Will there at his ease in his study, which vexed me cruelly, that he should let me be all alone waiting for him.

1662-08-27 23:42   I did not think Will was come home, but was in fear for him, it being very late, what was become of him.

1662-08-27 17:34   To-day my hogshead of sherry I have sold to Sir W. Batten, and am glad of my money instead of wine.

1662-08-26 23:21   So to bed.

1662-08-26 22:03   To Deptford and to the payhouse, and there paying off the Martin and Kinsale, being small but troublesome ships to pay.

1662-08-26 12:49   Dined alone with Sir W. Batten, which I have not done a great while, but his lady being out of the way I was the willinger to do it.

1662-08-26 05:21   Up betimes and among my workmen, with great pleasure seeing them go on merrily, and a good many hands, which I perceive makes good riddance.

1662-08-25 21:33   To my office ordering of several businesses, and so home and to bed, my mind, God be praised, full of business, but great quiet.

