YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1660-10-31 23:30   My wife has been so ill of late of her old pain that I have not known her this fortnight almost, which is a pain to me.

1660-10-31 23:13   This month I conclude with my mind very heavy for the greatness of my late expenses, insomuch that I do not think that I have above 150l.

1660-10-31 23:10   Sir W. Pen is to ride to Sir W. Batten’s house to-morrow, and would have me go with him, so I up late getting together my things to ride in.

1660-10-31 16:30   I hear that the Queen is landed at Dover, and will be here on November 2nd.

1660-10-31 12:05   I spoke of it to the Comptroller and the principal officers, who are all unwilling to meddle in anything that may anger my Lady Davis.

1660-10-31 11:50   Much troubled all this morning in my mind about the business of my walk on the leads.

1660-10-30 20:40   I am told Mr. Davis’s people have broken open the bolt of my chamber door that goes upon the leads, which did trouble me more and more.

1660-10-30 18:30   We did read over the King’s declaration in matters of religion, which is very well penned, I think to the satisfaction of most people.

1660-10-30 17:10   To ease my mind, I went to the Cockpit all alone, and there saw a very fine play called “The Tamer Tamed;” very well acted.

1660-10-29 20:20   I was told my Lady Davis is now come to our next lodgings, and has locked up the leads door from me, which puts me into a great disquiet.

1660-10-29 15:30   Went with my Lady Pickering to her lodging, a poor one in Blackfryars, where she never invited me to go in, which methought was strange.

1660-10-29 11:00   We had a good place to see the pageants which were many, and I believe good, for such kind of things, but in themselves but poor and absurd.

1660-10-29 08:10   I up early, it being my Lord Mayor’s day, and neglecting my office I went to the Wardrobe, where I met my Lady Sandwich and the children.

1660-10-28 15:40   To White Hall chappell. Mr. Hill did take us into the King’s closet and there we did stay all service-time which I did think a great honour.

1660-10-28 14:20   I dined with my Lady, and my young Lord, and Mr. Sidney, who was sent for from Twickenham to see my Lord Mayor’s show to-morrow.

1660-10-27 19:20   I called at Paul’s Churchyard and bought Alsted’s Encyclopaedia, which cost me 38s.

1660-10-27 18:30   I went by chance by my new Lord Mayor’s house (Sir Richard Browne), by Goldsmith’s Hall, which is now fitting, and indeed is a pretty house.

1660-10-27 18:10   In London and Westminster all this day paying of money and buying of things for my house.

1660-10-26 20:10   I bought a book of the Life of our Queen, which I read at home to my wife; but it was so sillily writ, that we did nothing but laugh at it.

1660-10-26 15:40   I saw the Duke de Soissons go with a very great deal of state: his own coach all red velvet covered with gold lace, and drawn by six barbes.

1660-10-26 14:10   My father is mightily pleased with my ordering of my house.

1660-10-26 13:50   My father and Dr. Thomas Pepys dined at my house, the last of whom I did almost fox with Margate ale.

1660-10-25 18:30   All day at home doing something in order to the fitting of my house.

1660-10-24 22:10   Home, where I found a box of Carpenter’s tools sent by my cozen, Tho. Pepys, which I had bespoke of him for to employ myself with sometimes.

1660-10-24 15:30   Mr. Greatorex did show me the lamp-glasses, which carry the light a great way, good to read in bed by, and I intend to have one of them.

1660-10-24 12:50   Capt. Murford did put 3l. into my hands for a friendship I had done him. I bade him keep it till he has enough to buy my wife a necklace.

1660-10-24 09:37   We were friends again as we are always.

1660-10-24 09:25   I took occasion to be angry with my wife about her putting up of half a crown in a paper box, which she had forgot where she had lain it.

1660-10-24 09:10   I lay and slept long to-day.

1660-10-23 20:50   I found Mr. Spong to be as ingenious a man as I met with in my life, and cannot admire him enough, he being so plain and illiterate a man.

1660-10-23 20:30   We looked over many instruments of Mr. Spong's, especially his wooden jack in his chimney, which goes with the smoke, which is very pretty.

1660-10-23 16:10   I took my Lord’s picture, and carried it to Mr. de Cretz to be copied.

1660-10-23 14:40   Petit having a design to reform the universities, and to institute schools for the learning of languages, which I know will come to nothing.

1660-10-23 14:10   Catan Stirpin told me that her mistress was lately dead of the small pox, and that herself was now married to Monsieur Petit.

1660-10-23 13:20   I took my brother Ashwell and his cozen Sam. Ashwell and Mr. Mallard to the Leg and gave them a dish of meat for dinner and paid for it.

1660-10-23 10:00   I met the judges riding on horseback to Westminster Hall, it being the first day of the term, the first time I ever saw any such solemnity.

1660-10-23 06:40   Mr. Sheply going to put up his pistols into the holsters, one of them flew off, and it pleased God that it did us no hurt.

1660-10-23 06:20   I went to bed with Mr. Sheply in his chamber, but could hardly get any sleep all night, the bed being ill made and he a bad bedfellow.

1660-10-22 21:10   I got leave to have my Lord's picture, that was done by Lilly, copied, and talking of religion, I found him to be a perfect Sceptic.

1660-10-22 14:30   To my Lord’s, where I found all preparing for my Lord’s going to sea to fetch the Queen tomorrow.

1660-10-21 22:10   This day or two my wife has been troubled with her boils in the old place, which do much trouble her.

1660-10-21 17:50   So home, where I found my boy, but he had found the way home well enough, of which I was glad.

1660-10-21 14:40   From the Crown to the Abbey to look for my boy, but he was gone thence, and so he being a novice I was at a loss what was become of him.

1660-10-21 14:15   George Vines carried me to his turret where there is Cooke’s head set up for a traytor and Harrison’s on the other side of Westminster Hall.

1660-10-21 14:00   We went to Price’s by the Hall back door, but there being no drink to be had we went away, and so to the Crown in the Palace Yard.

1660-10-20 15:45   A bloody week this and the last have been, there being ten hanged, drawn, and quartered.

1660-10-20 15:30   Calling at Crowe’s, in Saint Bartholomew’s, I saw the limbs of some of our new traitors set upon Aldersgate, which was a sad sight to see.

1660-10-20 14:10   I dined with my Lord and Lady; when he was very merry, and did talk very high how he would have a French cook, and a master of his horse.

1660-10-20 10:30   Going into my cellar I stepped into a heap of turds by which I found that Mr. Turner’s house of office is full and comes into my cellar.

1660-10-20 10:10   One came to me to advise with me where to make me a window into my cellar in lieu of one which Sir W. Batten had stopped up.

