YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1662-10-31 21:52   Great plots are talked to be discovered, and all the prisons in town full of ordinary people, taken from their meeting-places last Sunday.

1662-10-31 21:43   Public matters are full of discontent, what with the sale of Dunkirk, and my Lady Castlemaine, and her faction at Court.

1662-10-31 21:10   In all other things as happy a man as any in the world, for the whole world seems to smile upon me.

1662-10-31 21:07   My head troubled with much business. Then my law businesses for Brampton makes me mad almost.

1662-10-31 09:40   Up and among my workmen, the carpenters being this day laying of my floor of my dining room, with whom I staid a good while.

1662-10-30 20:27   Up to the Deputy Governor; and he do undertake to keep the key of the cellars, that none shall go down without his privity.

1662-10-30 19:48   We set to digging, but could find nothing. But our guides did not at all seem discouraged; they being confident that the money is there.

1662-10-30 15:50   We went into several little cellars; but none did answer so well to the marks which was given him to find it by, as one arched vault.

1662-10-30 15:09   To the Tower. Sir H. Bennet and my Lord Mayor did give us power to fall to work. Our guide demands a candle and into the cellars he goes.

1662-10-30 07:51   Mr. Wade hath discovered 7,000l. hid in the Tower; he was to have two for discovery; my Lord two, and the King three, when it was found.

1662-10-29 19:44   Sir G. Carteret do say that he do not think that there hath been any great plotting among the late people that are clapped up.

1662-10-29 15:20   I received a letter from my father speaking trouble about my uncle Thomas, and of proceeding to lay claim to Brampton and all my uncle left.

1662-10-28 21:20   My house is now in its last dirt, I hope, the plasterer and painter now being upon winding up all my trouble.

1662-10-28 15:09   Home to dinner with my wife, and after dinner she and I passing an hour or two in ridiculous talk, and then to my office.

1662-10-27 18:28   Mr. Mills could get nothing out of the maid (that did poyson herself) before she died, but that she did not like herself, which is strange.

1662-10-27 15:07   To the Exchange, and took many turns, observing one pretty Exchange lass, with her face full of black patches, which was a strange sight.

1662-10-27 14:21   Mr. Creed told me what is whispered, that young Crofts is lawful son to the King, the King being married to his mother.

