YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1661-08-31 21:46   The season very sickly every where of strange and fatal fevers.

1661-08-31 21:44   At Court things are in very ill condition, there being so much emulacion, poverty, and the vices of drinking, swearing, and loose amours.

1661-08-31 21:41   I have trouble about my brother Tom, who is left to keep my father’s trade. I have fears that he will miscarry for want of brains and care.

1661-08-31 21:38   I find myself too much given to seeing of plays, and expense, and pleasure, which makes me forget my business, which I must labour to amend.

1661-08-31 15:52   Into Christ’s Hospitall, and there I did give every one of them a bauble, which was the little globes of glass with things hanging in them.

1661-08-31 15:10   I met with my Ladies Jemimah and Paulina at seeing the monkeys dance, which was much to see. It troubled me to sit among such nasty company.

1661-08-31 13:59   A dirty slut or two come up that were whores. I took no pleasure but a great deal of trouble in getting from thence for fear of being seen.

1661-08-31 13:21   Luellin and I to the tavern and after that to Bartholomew fair, and there upon his motion to a pitiful alehouse.

1661-08-30 17:33   My wife met a son of Lord Somersett whom she knew in France, a pretty man; I showed him no great countenance, to avoyd further acquaintance.

1661-08-30 17:04   To the French comedy, which was so ill done, every thing so nasty and out of order, that I was sick all the while in my mind to be there.

1661-08-29 17:32   Mr. Evans told us that the estate God hath blessed him with is too great to give where there is nothing in possession but a trade and house.

1661-08-29 16:46   I with my father to an alehouse, and there came Mr. Evans, the taylor, whose daughter we have had a mind to get for a wife for Tom.

1661-08-28 18:05   This day I counterfeited a letter to Sir W. Pen, as from the thief that stole his tankard lately, only to abuse and laugh at him.

1661-08-27 21:32   My wife would have me to do something for her brother Balty but I am afeard to meddle for fear I shall not be able to wipe my hands of him.

1661-08-27 17:21   To the Theatre and saw “The Joviall Crew,” where the King, Duke, Duchess, and Madame Palmer were; my wife had a sight of them all the while.

1661-08-27 13:54   My wife and I to Thos. Pepys where some ladies and my father and mother, where merry but methinks he makes but poor dinners for such guests.

1661-08-26 22:31   A letter from my Lord Sandwich, who is now well of his feaver, but not yet gone from Alicante, where he lay sick, and was twice let blood.

1661-08-26 21:55   I took leave of Mr Fanshaw who goes to-morrow to Portugal. We drank a great deal of wine, I too much and Mr Fanshaw till he could hardly go.

1661-08-26 17:15   To the Theatre, and saw the “Antipodes,” wherein there is much mirth, but no great matter else.

1661-08-26 07:53   I shall never have one to please us better in all things. I gave Jane 2s. 6d. over and bade her adieu, my mind full of trouble at her going.

1661-08-26 07:49   I made even with my maid Jane, who has this day been my maid three years, and is this day to go into the country to her mother.

1661-08-25 18:38   I got my father to yield that Pall should go into the country with my mother and him, and stay there to see how she will demean herself.

1661-08-25 18:30   In great anger told Pall before my father that I would keep her no longer, and my father he said he would have nothing to do with her.

1661-08-25 16:10   I found my Lady Batten and her daughter to look something askew upon my wife, because my wife do not buckle to them.

1661-08-25 15:04   To church with my wife, and had a very good and pungent sermon of Mr. Mills, discoursing the necessity of restitution.

1661-08-24 21:55   Met with Mr Spong and took him to the Sampson in Paul’s churchyard, and staid till late, and it rained hard so we were fain to get home wet.

1661-08-24 17:21   To the Opera and saw “Hamlet, Prince of Denmark,” done with scenes very well. Above all, Betterton did the prince’s part beyond imagination.

1661-08-24 12:43   The Comptroller and I to Sir Rd. Ford’s and viewed the house again and are come to a complete end with him to give him 200l. per an. for it.

1661-08-24 11:26   I do believe that the baboon already understands much English, and I am of the mind it might be taught to speak or make signs.

1661-08-24 11:20   It is a great baboon, but so much like a man in most things, I cannot believe but that it is a monster got of a man and she-baboon.

1661-08-24 11:04   We are called to Sir W. Batten’s to see the strange creature that Captain Holmes hath brought with him from Guiny.

1661-08-23 17:49   I took my wife to the Opera, and shewed her “The Witts,” which I had seen already twice, and was most highly pleased with it.

1661-08-23 11:29   T. Trice took my father and me to one of the judges, and there we were sworn, and so back again to the alehouse and drank and parted.

1661-08-23 10:38   To Tom Trice’s to an alehouse near, and there sat and talked, and finding him fair we examined my uncle’s will before him and Dr. Williams.

1661-08-23 09:27   I found my father and my mother in a discontent, which troubles me much, and indeed she is become very simple and unquiet.

1661-08-22 19:08   With my aunt Wight, my wife, and Pall and I to her house by coach, and there staid and supped upon a Westphalia ham.

1661-08-22 13:12   My uncle Fenner’s house so hot, that my uncle Wight, my father and I were fain to go out, and stay at an alehouse awhile to cool ourselves.

1661-08-22 12:43   Took my wife by coach to my uncle Fenner’s, where there was great deal of company, but poor entertainment, which I wonder at.

1661-08-21 15:48   The girl is very well favoured, and a very child, but modest, and one I think will do very well for my brother.

1661-08-21 15:35   Mrs. Whately only is afeard that her daughter is too young and portion not big enough, but offers 200l. down with her.

1661-08-21 15:32   To Mrs. Whately’s again, and there were well received, and she desirous to have the thing go forward.

1661-08-21 14:14   I understand by Mr. Moore that my Lady Sandwich is brought to bed yesterday of a young Lady, and is very well.

1661-08-21 10:32   With Mrs. Terry we discoursed about and agreed to go to her mother this afternoon to speak with her.

