YYYY-MM-DD HH:MM   12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

1663-05-31 21:59   I find myself growing in esteem in the office. I hope falling to my business will confirm me in it, and the saving of money which God grant!

1663-05-31 19:22   The King of France was given out to be poisoned and dead; but it proves to be the measles: and he is well, or likely to be soon well again.

1663-05-31 17:03   Yet I might have been better by 20l. almost had I forborne some layings out in dancing and other things upon my wife, and going to plays.

1663-05-31 17:01   I to make up my month’s accounts, and find myself clear worth 726l., for which God be praised.

1663-05-31 15:19   I read part of the new play of “The Five Houres’ Adventures,” it being a play of the greatest plot that ever I expect to see.

1663-05-31 07:53   Will having neglected to brush my clothes I was angry, and him seeming to make it a matter indifferent, I did give him a box on the ear.

1663-05-31 07:20   I do plainly see that my wife’s distaste against Ashwell arises from her jealousy of me and her, and my neglect of herself, which is true.

1663-05-30 22:12   Home, and after supper did wash my feet, and so to bed.

1663-05-30 20:52   At my office getting up the time that I have lost by not following my business, but I hope now to settle my mind again well to my business.

1663-05-30 06:02   Creed and I walked to the New Exchange, and there drank our morning draught of whay, the first I have done this year.

1663-05-29 21:04   God forgive me I could scarce stay myself from going into the whores’ houses, so apt is my nature to evil after set upon pleasure again.

1663-05-29 20:59   I did take two turns forwards and backwards through the Fleete Ally to see a couple of pretty whores that stood off the doors there.

1663-05-29 17:41   To the Duke’s house, and saw “The Slighted Mayde,” wherein Gosnell acted Pyramena, and did it well, and I believe will prove a good actor.

1663-05-29 11:01   It is a wonder to see, that in some churches there was hardly ten people in the whole church, and those poor people.

1663-05-29 07:40   This day is kept strictly as a holy-day, being the King’s Coronation. We lay long in bed, and it rained very hard, rain and hail.

1663-05-28 17:28   To the Duke’s House; and there saw “Hamlett” done, giving us fresh reason never to think enough of Betterton.

1663-05-28 11:48   The book is dedicated to all men of any great condition. The Epistles are more than the book itself and both it and them not worth a turd.

1663-05-28 11:43   At the coffee-house in Exchange Alley I bought a little book, “Counsell to Builders,” by Sir Balth. Gerbier.

1663-05-28 09:52   I hear that the King had letters yesterday from France that the King there is in a way of living again, which I am glad to hear.

1663-05-27 20:15   We were merry, and I made myself so, and kind to Pembleton as much as I could, though I perceive to my trouble that he knows all.

1663-05-27 18:59   We went up, and we danced country dances, and single, my wife and I; my wife paid Pembleton off for this month also, and so he is cleared.

1663-05-27 17:35   My wife tells me that Pembleton had been there, and she would not have him come in unless I was there, which I was ashamed of.

1663-05-27 15:07   This day there was great thronging to Banstead Downs, upon a great horse-race and foot-race. I am sorry I could not go thither.

1663-05-27 14:42   My Lord says he cannot endure a merry tune, which is a strange turn, after he has for two or three years flung off the practice of Fancies.

1663-05-27 10:57   By water to Chelsey, all the way reading a little book I bought of “Improvement of Trade,” a pretty book and many things useful in it.

1663-05-27 09:20   Roger Pepys thinks to marry again. He would have me look out a widow between thirty and forty years old, without children, with a fortune.

1663-05-27 05:24   After awhile I caressed my wife and parted seeming friends, but she crying in a great discontent.

1663-05-27 05:07   I found very good reason to think that my wife’s freedom with Pembleton is very great and more than was convenient, but with no evil intent.

1663-05-27 04:32   I began to tax my wife’s discretion in yesterday’s business, but she quickly told me my own, knowing that it was my old disease of jealousy.

1663-05-27 04:12   I seemed going to rise, though only to see what my wife would do, and going out of the bed she took hold of me and would know what ailed me.

1663-05-27 03:03   I waked, my mind being troubled, and so took occasion by making water to wake my wife.

1663-05-26 21:22   Though my wife would have spoke of business to me, I construed it to be but impudence, and I did say nothing, being in a doubt what to do.

1663-05-26 18:49   Lord! to see how my jealousy wrought so far that I went softly up to see whether any of the beds were out of order or no, which I found not.

